domain,label,ceiling_score
maisonjoliette.fr,0,4.0000
girlswithgems.com,1,3.0000
herlipto.jp,1,3.0000
knix.com,1,3.0000
upscaleaudio.com,1,3.0000
blusparkle.com,0,3.0000
finki.com.au,0,3.0000
fleurishllp.com,0,3.0000
shopbeebalm.com,0,3.0000
stovallcollection.com,0,3.0000
twinkleglory.com.au,0,3.0000
kurand.jp,1,2.5000
f1authentics.com,1,2.0000
hismileteeth.com,1,2.0000
mulmul.com,1,2.0000
nanoleaf.me,1,2.0000
tattydevine.com,1,2.0000
caramelcattle.com,0,2.0000
grabieart.com,0,2.0000
handmade-amsterdam.nl,0,2.0000
handmade-jewelry.store,0,2.0000
harathelabel.com,0,2.0000
kinsfolkshop.com,0,2.0000
laurelandblush.com,0,2.0000
papierdamour.com.au,0,2.0000
venilals.com,0,2.0000
blenderseyewear.com,1,1.0000
campusprotein.com,1,1.0000
chubbiesshorts.com,1,1.0000
hollandcooper.com,1,1.0000
loungeunderwear.com,1,1.0000
lskd.co,1,1.0000
oliversweeney.com,1,1.0000
patrickmavros.com,1,1.0000
polyvinylrecords.com,1,1.0000
thesomewhereco.com,1,1.0000
vetsak.com,1,1.0000
cakebase.com.au,0,1.0000
ener-chi.co.uk,0,1.0000
goodandwellsupplyco.com,0,1.0000
handmade-studio.com,0,1.0000
absolutecollagen.com,1,0.0000
bombayshavingcompany.com,1,0.0000
braingain.fit,1,0.0000
coffeeangel.com,1,0.0000
cutlerandgross.com,1,0.0000
futureyouhealth.com,1,0.0000
gold-collagen.com,1,0.0000
huel.com,1,0.0000
knya.in,1,0.0000
kotn.com,1,0.0000
manmadebrand.com,1,0.0000
msread.com.my,1,0.0000
oakywood.shop,1,0.0000
peepers.com,1,0.0000
suitshop.com,1,0.0000
abitterfeeling.com,0,0.0000
bathhousesoap.com,0,0.0000
candles-creations.com,0,0.0000
handmade-club.com,0,0.0000
handmade-de.com,0,0.0000
handmade-factory.de,0,0.0000
handmade-furniture.co.uk,0,0.0000
handmade-haven.com,0,0.0000
handmade-nz.com,0,0.0000
handmade-rugs.in,0,0.0000
havilahprintingco.com,0,0.0000
mauandmau.com,0,0.0000
mermaizingscents.com,0,0.0000
modernfavors.com,0,0.0000
shu-ibiza.com,0,0.0000
thecrockeryhut.com,0,0.0000
tokyopens.co,0,0.0000
uniseoul.in,0,0.0000
wildflostudio.com,0,0.0000
yellowbeauty.com,0,0.0000
