domain,ceiling_score,components,product_count,review_count_max,matched_app_keys,reviewer_category,reviewer_note
maisonjoliette.fr,4.0,"{""workaround_b2b"": {""contribution"": 3.0, ""weight"": 3.0, ""active"": true, ""verified"": true, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 1.0, ""weight"": 1.0, ""active"": true, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}}",593,352,bss_b2b_wholesale;sparklayer,legitimate_ceiling_case,"Visited. French puzzle and stationery brand. Devenir revendeur page, B2B collection, wholesale via Ankorstore and Faire, BSS B2B and SparkLayer installed, 352 reviews. Self-serve merchant running a wholesale channel on apps. This is the thesis case, not a false positive."
blusparkle.com,3.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 2.0, ""weight"": 2.0, ""active"": true, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 1.0, ""weight"": 1.0, ""active"": true, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",1571,,,volume_only_legit,"Visited. Solo crafter selling one-of-a-kind items. Catalog count inflated by single-unit listings, many sold out. No reviews widget. Not a ceiling case."
finki.com.au,3.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 2.0, ""weight"": 2.0, ""active"": true, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 1.0, ""weight"": 1.0, ""active"": true, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",1162,,,volume_only_legit,"Visited. Family-run multi-brand boutique with a physical shop in Northcote VIC, stocks 50+ designers. Real retailer, large catalog by nature of consignment-style retail. No workaround apps."
fleurishllp.com,3.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 2.0, ""weight"": 2.0, ""active"": true, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 1.0, ""weight"": 1.0, ""active"": true, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",1476,,,volume_only_legit,"Visited. Brick-and-mortar gift shop in Excelsior MN with online catalog. Real retailer, no ceiling signals beyond catalog size."
shopbeebalm.com,3.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 2.0, ""weight"": 2.0, ""active"": true, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 1.0, ""weight"": 1.0, ""active"": true, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",1098,,,volume_only_legit,"Visited. Consignment and vintage boutique in Harmony MN. Single-unit consignment inventory means constant new listings, which inflates catalog growth. Structural false positive for the high_growth feature."
stovallcollection.com,3.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 2.0, ""weight"": 2.0, ""active"": true, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 1.0, ""weight"": 1.0, ""active"": true, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",1945,,,volume_only_legit,Visited. Stationery and gift shop in Memphis TN. Personalized stationery variants inflate product count. Real growing business but no workaround apps.
twinkleglory.com.au,3.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 2.0, ""weight"": 2.0, ""active"": true, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 1.0, ""weight"": 1.0, ""active"": true, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",2976,,,legitimate_ceiling_case,"Visited. Australian kawaii retailer, 2,976 products. Wholesale enquiry page (form, not app), sister storefront ttso.com.au, exclusive AU distributor for Bear appliances, own snack line stocked in Coles, loyalty program, click and collect. Ceiling case that the app dictionary misses because wholesale runs through a form and the second store is a separate domain."
caramelcattle.com,2.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 2.0, ""weight"": 2.0, ""active"": true, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",84,,,new_store_zero_base,"Visited. New curated gift-box store, 84 products, placeholder text still on the homepage. Growth fires because prior-year catalog was near zero. Structural false positive for high_growth on new stores."
grabieart.com,2.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 2.0, ""weight"": 2.0, ""active"": true, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",240,,,possibly_plus_mislabeled,"Visited. DTC art supplies brand. Wholesale page, products in 3,000+ retail stores per site, three subscription boxes, iOS and Android app, affiliate program, museum collaboration. Either already on Plus or an obvious ceiling case. Negative label needs checking before submission."
handmade-amsterdam.nl,2.0,"{""workaround_b2b"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_multistore"": {""contribution"": 0.0, ""weight"": 3.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_launch"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_discount"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_sso"": {""contribution"": 0.0, ""weight"": 1.5, ""active"": false, ""verified"": null, ""note"": null}, ""workaround_intl"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""high_growth"": {""contribution"": 2.0, ""weight"": 2.0, ""active"": true, ""verified"": null, ""note"": null}, ""large_catalog"": {""contribution"": 0.0, ""weight"": 1.0, ""active"": false, ""verified"": null, ""note"": null}, ""review_scale"": {""contribution"": 0.0, ""weight"": 2.0, ""active"": false, ""verified"": null, ""note"": ""null_input""}}",267,,,unknown,Not visited.
