domain,group,migration_month,offset,snapshot_found,workaround_any,workaround_capabilities,plus_fingerprint_any
blenderseyewear.com,migrator,2017-11,-18,1,0,,0
blenderseyewear.com,migrator,2017-11,-12,1,1,launch_scheduling,0
blenderseyewear.com,migrator,2017-11,-6,1,1,launch_scheduling,0
blenderseyewear.com,migrator,2017-11,-3,1,0,,0
blenderseyewear.com,migrator,2017-11,3,1,0,,0
chubbiesshorts.com,migrator,2014-06,-18,1,0,,0
chubbiesshorts.com,migrator,2014-06,-12,1,0,,0
chubbiesshorts.com,migrator,2014-06,-6,1,0,,0
chubbiesshorts.com,migrator,2014-06,-3,1,0,,0
chubbiesshorts.com,migrator,2014-06,3,1,0,,0
girlswithgems.com,migrator,2024-12,-18,1,0,,0
girlswithgems.com,migrator,2024-12,-12,1,0,,0
girlswithgems.com,migrator,2024-12,-6,1,0,,0
girlswithgems.com,migrator,2024-12,-3,1,0,,0
girlswithgems.com,migrator,2024-12,3,1,0,,0
july.com,migrator,2021-02,-18,1,0,,0
july.com,migrator,2021-02,-12,1,0,,0
july.com,migrator,2021-02,-6,1,0,,0
july.com,migrator,2021-02,-3,1,0,,0
july.com,migrator,2021-02,3,1,0,,0
knix.com,migrator,2020-06,-18,1,0,,0
knix.com,migrator,2020-06,-12,1,0,,0
knix.com,migrator,2020-06,-6,1,0,,0
knix.com,migrator,2020-06,-3,1,0,,0
knix.com,migrator,2020-06,3,1,0,,0
msread.com.my,migrator,2022-06,-18,1,0,,0
msread.com.my,migrator,2022-06,-12,0,,,
msread.com.my,migrator,2022-06,-6,0,,,
msread.com.my,migrator,2022-06,-3,0,,,
msread.com.my,migrator,2022-06,3,1,0,,0
mulmul.com,migrator,2021-06,-18,1,0,,0
mulmul.com,migrator,2021-06,-12,1,0,,0
mulmul.com,migrator,2021-06,-6,0,,,
mulmul.com,migrator,2021-06,-3,0,,,
mulmul.com,migrator,2021-06,3,0,,,
oakywood.shop,migrator,2023-06,-18,0,,,
oakywood.shop,migrator,2023-06,-12,1,0,,0
oakywood.shop,migrator,2023-06,-6,1,0,,0
oakywood.shop,migrator,2023-06,-3,1,0,,0
oakywood.shop,migrator,2023-06,3,1,1,discount_logic,0
suitshop.com,migrator,2020-06,-18,0,,,
suitshop.com,migrator,2020-06,-12,1,0,,0
suitshop.com,migrator,2020-06,-6,0,,,
suitshop.com,migrator,2020-06,-3,0,,,
suitshop.com,migrator,2020-06,3,0,,,
thesomewhereco.com,migrator,2021-06,-18,0,,,
thesomewhereco.com,migrator,2021-06,-12,0,,,
thesomewhereco.com,migrator,2021-06,-6,1,0,,0
thesomewhereco.com,migrator,2021-06,-3,1,0,,0
thesomewhereco.com,migrator,2021-06,3,1,0,,0
tilecloud.com.au,migrator,2020-07,-18,1,0,,0
tilecloud.com.au,migrator,2020-07,-12,1,0,,0
tilecloud.com.au,migrator,2020-07,-6,1,0,,0
tilecloud.com.au,migrator,2020-07,-3,1,0,,0
tilecloud.com.au,migrator,2020-07,3,1,0,,0
upscaleaudio.com,migrator,2019-07,-18,1,0,,0
upscaleaudio.com,migrator,2019-07,-12,1,0,,0
upscaleaudio.com,migrator,2019-07,-6,0,,,
upscaleaudio.com,migrator,2019-07,-3,1,0,,0
upscaleaudio.com,migrator,2019-07,3,1,0,,0
maisonjoliette.fr,control,2021-02,-18,0,,,
maisonjoliette.fr,control,2021-02,-12,0,,,
maisonjoliette.fr,control,2021-02,-6,0,,,
maisonjoliette.fr,control,2021-02,-3,0,,,
maisonjoliette.fr,control,2021-02,3,0,,,
ener-chi.co.uk,control,2021-02,-18,0,,,
ener-chi.co.uk,control,2021-02,-12,0,,,
ener-chi.co.uk,control,2021-02,-6,0,,,
ener-chi.co.uk,control,2021-02,-3,1,0,,0
ener-chi.co.uk,control,2021-02,3,0,,,
goodandwellsupplyco.com,control,2021-02,-18,1,0,,0
goodandwellsupplyco.com,control,2021-02,-12,0,,,
goodandwellsupplyco.com,control,2021-02,-6,0,,,
goodandwellsupplyco.com,control,2021-02,-3,1,0,,0
goodandwellsupplyco.com,control,2021-02,3,0,,,
shopbeebalm.com,control,2021-02,-18,0,,,
shopbeebalm.com,control,2021-02,-12,0,,,
shopbeebalm.com,control,2021-02,-6,0,,,
shopbeebalm.com,control,2021-02,-3,0,,,
shopbeebalm.com,control,2021-02,3,1,0,,0
uniseoul.in,control,2021-02,-18,0,,,
uniseoul.in,control,2021-02,-12,0,,,
uniseoul.in,control,2021-02,-6,0,,,
uniseoul.in,control,2021-02,-3,0,,,
uniseoul.in,control,2021-02,3,0,,,
laurelandblush.com,control,2021-02,-18,0,,,
laurelandblush.com,control,2021-02,-12,0,,,
laurelandblush.com,control,2021-02,-6,0,,,
laurelandblush.com,control,2021-02,-3,1,0,,0
laurelandblush.com,control,2021-02,3,0,,,
tokyopens.co,control,2021-02,-18,0,,,
tokyopens.co,control,2021-02,-12,0,,,
tokyopens.co,control,2021-02,-6,0,,,
tokyopens.co,control,2021-02,-3,0,,,
tokyopens.co,control,2021-02,3,0,,,
papierdamour.com.au,control,2021-02,-18,1,0,,0
papierdamour.com.au,control,2021-02,-12,0,,,
papierdamour.com.au,control,2021-02,-6,0,,,
papierdamour.com.au,control,2021-02,-3,1,0,,0
papierdamour.com.au,control,2021-02,3,1,0,,0
finki.com.au,control,2021-02,-18,1,0,,0
finki.com.au,control,2021-02,-12,1,0,,0
finki.com.au,control,2021-02,-6,1,0,,0
finki.com.au,control,2021-02,-3,1,0,,0
finki.com.au,control,2021-02,3,0,,,
venilals.com,control,2021-02,-18,0,,,
venilals.com,control,2021-02,-12,0,,,
venilals.com,control,2021-02,-6,1,0,,0
venilals.com,control,2021-02,-3,0,,,
venilals.com,control,2021-02,3,1,0,,0
kinsfolkshop.com,control,2021-02,-18,1,0,,0
kinsfolkshop.com,control,2021-02,-12,0,,,
kinsfolkshop.com,control,2021-02,-6,1,0,,0
kinsfolkshop.com,control,2021-02,-3,1,0,,0
kinsfolkshop.com,control,2021-02,3,1,0,,0
handmade-amsterdam.nl,control,2021-02,-18,0,,,
handmade-amsterdam.nl,control,2021-02,-12,0,,,
handmade-amsterdam.nl,control,2021-02,-6,0,,,
handmade-amsterdam.nl,control,2021-02,-3,0,,,
handmade-amsterdam.nl,control,2021-02,3,0,,,
modernfavors.com,control,2021-02,-18,0,,,
modernfavors.com,control,2021-02,-12,0,,,
modernfavors.com,control,2021-02,-6,0,,,
modernfavors.com,control,2021-02,-3,0,,,
modernfavors.com,control,2021-02,3,0,,,
grabieart.com,control,2021-02,-18,0,,,
grabieart.com,control,2021-02,-12,0,,,
grabieart.com,control,2021-02,-6,0,,,
grabieart.com,control,2021-02,-3,0,,,
grabieart.com,control,2021-02,3,0,,,
handmade-nz.com,control,2021-02,-18,0,,,
handmade-nz.com,control,2021-02,-12,0,,,
handmade-nz.com,control,2021-02,-6,0,,,
handmade-nz.com,control,2021-02,-3,0,,,
handmade-nz.com,control,2021-02,3,0,,,
bathhousesoap.com,control,2021-02,-18,0,,,
bathhousesoap.com,control,2021-02,-12,1,0,,0
bathhousesoap.com,control,2021-02,-6,1,0,,0
bathhousesoap.com,control,2021-02,-3,1,0,,0
bathhousesoap.com,control,2021-02,3,1,0,,0
thecrockeryhut.com,control,2021-02,-18,1,0,,0
thecrockeryhut.com,control,2021-02,-12,0,,,
thecrockeryhut.com,control,2021-02,-6,0,,,
thecrockeryhut.com,control,2021-02,-3,0,,,
thecrockeryhut.com,control,2021-02,3,0,,,
handmade-jewelry.store,control,2021-02,-18,0,,,
handmade-jewelry.store,control,2021-02,-12,0,,,
handmade-jewelry.store,control,2021-02,-6,0,,,
handmade-jewelry.store,control,2021-02,-3,0,,,
handmade-jewelry.store,control,2021-02,3,0,,,
harathelabel.com,control,2021-02,-18,1,0,,0
harathelabel.com,control,2021-02,-12,1,0,,0
harathelabel.com,control,2021-02,-6,1,0,,0
harathelabel.com,control,2021-02,-3,1,0,,0
harathelabel.com,control,2021-02,3,1,0,,0
mermaizingscents.com,control,2021-02,-18,0,,,
mermaizingscents.com,control,2021-02,-12,0,,,
mermaizingscents.com,control,2021-02,-6,0,,,
mermaizingscents.com,control,2021-02,-3,0,,,
mermaizingscents.com,control,2021-02,3,0,,,
